time,houseHoldLoad,pvLoad
1/1/2018 0:00,0.07324,0.00
1/1/2018 0:15,0.08744,0.00
1/1/2018 0:30,0.08112,0.00
1/1/2018 0:45,0.075,0.00
1/1/2018 1:00,0.06908,0.00
1/1/2018 1:15,0.06344,0.00
1/1/2018 1:30,0.0582,0.00
1/1/2018 1:45,0.05364,0.00
1/1/2018 2:00,0.04992,0.00
1/1/2018 2:15,0.04728,0.00
1/1/2018 2:30,0.04548,0.00
1/1/2018 2:45,0.04424,0.00
1/1/2018 3:00,0.04328,0.00
1/1/2018 3:15,0.04236,0.00
1/1/2018 3:30,0.04148,0.00
1/1/2018 3:45,0.04068,0.00
1/1/2018 4:00,0.03996,0.00
1/1/2018 4:15,0.03932,0.00
1/1/2018 4:30,0.03884,0.00
1/1/2018 4:45,0.03848,0.00
1/1/2018 5:00,0.03828,0.00
1/1/2018 5:15,0.03828,0.00
1/1/2018 5:30,0.0384,0.00
1/1/2018 5:45,0.03868,0.00
1/1/2018 6:00,0.03912,0.00
1/1/2018 6:15,0.03968,0.00
1/1/2018 6:30,0.0404,0.00
1/1/2018 6:45,0.04132,0.00
1/1/2018 7:00,0.04244,0.00
1/1/2018 7:15,0.044,0.00
1/1/2018 7:30,0.0466,0.01
1/1/2018 7:45,0.05108,0.01
1/1/2018 8:00,0.05828,0.01
1/1/2018 8:15,0.0686,0.05
1/1/2018 8:30,0.08132,0.08
1/1/2018 8:45,0.09516,0.12
1/1/2018 9:00,0.10904,0.15
1/1/2018 9:15,0.12192,0.17
1/1/2018 9:30,0.13372,0.19
1/1/2018 9:45,0.1444,0.21
1/1/2018 10:00,0.15396,0.22
1/1/2018 10:15,0.16256,0.22
1/1/2018 10:30,0.17048,0.22
1/1/2018 10:45,0.17804,0.22
1/1/2018 11:00,0.1856,0.22
1/1/2018 11:15,0.19332,0.20
1/1/2018 11:30,0.2006,0.18
1/1/2018 11:45,0.20664,0.16
1/1/2018 12:00,0.21056,0.13
1/1/2018 12:15,0.2118,0.13
1/1/2018 12:30,0.2102,0.12
1/1/2018 12:45,0.20588,0.12
1/1/2018 13:00,0.19892,0.11
1/1/2018 13:15,0.18956,0.11
1/1/2018 13:30,0.17872,0.10
1/1/2018 13:45,0.16732,0.09
1/1/2018 14:00,0.15648,0.09
1/1/2018 14:15,0.14696,0.07
1/1/2018 14:30,0.13888,0.06
1/1/2018 14:45,0.13212,0.05
1/1/2018 15:00,0.12652,0.03
1/1/2018 15:15,0.12196,0.02
1/1/2018 15:30,0.11816,0.02
1/1/2018 15:45,0.11476,0.01
1/1/2018 16:00,0.11152,0.00
1/1/2018 16:15,0.10832,0.00
1/1/2018 16:30,0.10588,0.00
1/1/2018 16:45,0.10524,0.00
1/1/2018 17:00,0.10736,0.00
1/1/2018 17:15,0.11288,0.00
1/1/2018 17:30,0.12088,0.00
1/1/2018 17:45,0.13004,0.00
1/1/2018 18:00,0.139,0.00
1/1/2018 18:15,0.1468,0.00
1/1/2018 18:30,0.15352,0.00
1/1/2018 18:45,0.15968,0.00
1/1/2018 19:00,0.16564,0.00
1/1/2018 19:15,0.17156,0.00
1/1/2018 19:30,0.17644,0.00
1/1/2018 19:45,0.17904,0.00
1/1/2018 20:00,0.17812,0.00
1/1/2018 20:15,0.17288,0.00
1/1/2018 20:30,0.16472,0.00
1/1/2018 20:45,0.15556,0.00
1/1/2018 21:00,0.14732,0.00
1/1/2018 21:15,0.1414,0.00
1/1/2018 21:30,0.1372,0.00
1/1/2018 21:45,0.13372,0.00
1/1/2018 22:00,0.12984,0.00
1/1/2018 22:15,0.1248,0.00
1/1/2018 22:30,0.1186,0.00
1/1/2018 22:45,0.1116,0.00
